constituency,metropolitan,ward#
Kathmandu-1,Kathmandu Metropolitan City,"10, 11, 29, 31"
Kathmandu-2,Shankharapur Municipality,"1,2,3,4,5,6,7,8,9"
Kathmandu-2,Kageshwari-Manohara Municipality,"4,5,6,7,8,9"
Kathmandu-2,Kathmandu Metropolitan City,"32, 9"
Kathmandu-3,Kathmandu Metropolitan City,"6,"
Kathmandu-3,Kageshwari-Manohara Municipality,"1,2,3"
Kathmandu-3,Gokarneshwar Municipality,"1,2,3,4,5,6,7,8,9"
Kathmandu-4,Kathmandu Metropolitan City,"1,7,8,30"
Kathmandu-4,Budhanilkantha Municipality,"1, 2, 8, 9, 10, 11, 12, 13"
Kathmandu-5,Kathmandu Metropolitan City,"2, 3, 4, 5"
Kathmandu-5,Budhanilkantha Municipality,"3, 4, 5, 6, 7"
Kathmandu-5,Tokha Municipality,"2, 3, 4, 5, 6, 7"
Kathmandu-6,Kathmandu Metropolitan City,"26, 27, 28"
Kathmandu-6,Tokha Municipality,"1, 8, 9, 10, 11"
Kathmandu-6,Tarakeshwar Municipality,"1, 2, 6, 7, 8, 9, 10, 11"
Kathmandu-7,Kathmandu Metropolitan City,"16, 17, 18, 25"
Kathmandu-7,Nagarjun Municipality,"1, 2, 3"
Kathmandu-7,Tarakeshwar Municipality,"3, 4, 5"
Kathmandu-8,Kathmandu Metropolitan City,"13, 15, 19, 20, 23, 24"
Kathmandu-8,Nagarjun Municipality,"4, 5"
Kathmandu-9,Kathmandu Metropolitan City,"12, 14, 21, 22"
Kathmandu-9,Nagarjun Municipality,"6, 7, 8, 9, 10"
Kathmandu-9,Chandragiri Municipality,"1, 12, 13, 14, 15"
Kathmandu-10,Dakshinkali Municipality,"1,2,3,4,5,6,7,8,9"
Kathmandu-10,Chandragiri Municipality,"2, 3, 4, 5, 6, 7, 8, 9, 10, 1"
Kathmandu-10,Kirtipur Municipality,"1,2,3,4,5,6,7,8,9,10"
